persona_id,partido_id,cuatrienio_id
9157,145,NA
271,5,NA
280,5,NA
9158,145,NA
12701,11,NA
272,5,NA
7742,146,NA
12677,200,NA
375,2,55
1927,3,NA
12667,144,NA
294,4,NA
367,4,49
12690,145,NA
12668,11,NA
12673,11,NA
1925,12,NA
287,2,NA
2341,17,NA
12693,145,NA
278,5,NA
8294,146,NA
8128,6,NA
2225,11,NA
12708,146,NA
12711,146,NA
12678,6,NA
12715,10,NA
275,3,NA
12672,10,NA
12670,11,NA
12674,11,NA
12671,11,NA
12675,10,NA
12680,200,NA
12676,10,NA
12695,11,NA
12683,3,NA
12698,4,NA
2334,17,NA
2024,2,NA
8129,6,NA
586,74,200
488,4,138
342,2,34
829,4,2055
517,40,1946
405,91,78
389,5,65
537,2,170
336,2,1850
1033,2,512
412,74,83
619,2,1858
534,4,627
575,2,192
504,70,149
480,2,134
2224,3,1546
640,2,234
618,2,223
486,74,136
164,3,1066
371,74,53
9398,144,NA
14222,176,NA
2348,17,NA
12720,145,NA
675,4,261
2349,17,NA
13475,5,NA
795,2,348
2025,2,NA
2344,17,NA
606,4,214
12858,2,NA
14225,225,NA
9400,144,NA
2336,17,NA
1757,10,NA
9399,144,NA
274,5,NA
9162,145,NA
2026,2,NA
1140,28,923
616,2,221
354,1,545
552,2,2045
1091,2,884
861,38,394
703,2,2003
685,2,270
533,61,168
624,53,661
588,4,201
426,2,573
858,2,391
525,69,163
770,2,330
720,2,292
733,2,303
2226,2,1547
574,2,191
481,37,603
671,2,258
669,2,256
320,2,17
710,2,287
584,66,198
595,2,205
1029,96,509
1072,4,871
1111,68,902
887,4,413
878,91,404
773,2,332
468,4,125
434,74,102
949,4,804
1003,2,1995
712,2,289
14223,176,NA
1928,12,NA
1146,43,926
742,2,2008
1137,4,1338
1126,146,1865
9177,145,NA
8131,6,NA
1120,3,908
1930,12,NA
12865,2,NA
12856,2,NA
12857,2,NA
2339,17,NA
2345,17,NA
14224,176,NA
2264,5,NA
1850,12,NA
828,2,370
1118,2,907
833,77,373
890,4,416
1013,5,835
704,74,281
1116,10,905
697,69,277
1132,2,946
787,2,344
804,2,742
705,2,282
1149,2,930
1141,73,924
1041,103,844
526,29,625
1157,110,939
1112,67,903
1127,2,1866
996,2,483
924,73,792
698,79,278
1008,2,1977
946,4,453
785,2,342
1051,9,854
958,2,460
465,2,596
951,2,457
948,2,455
930,50,795
797,4,350
589,1,649
682,2,268
897,2,421
1320,35,957
520,4,160
2227,53,1549
314,9,527
13477,5,NA
977,2,471
2068,11,NA
1064,3,1537
550,68,635
1892,144,NA
13484,199,NA
2352,17,NA
14226,176,NA
13478,5,NA
13481,5,NA
13485,5,NA
14227,226,NA
1934,12,NA
14228,176,NA
13483,146,NA
1065,28,1905
2228,68,1550
1059,58,858
1000,4,485
1322,66,958
539,2,171
830,2,753
1040,2,843
636,47,670
634,40,1900
760,68,1857
546,2,175
974,2,469
774,27,333
943,37,801
602,2,209
714,4,704
620,74,2038
824,4,751
551,2,177
364,2,46
369,2,553
1160,53,942
994,2,482
1106,2,897
1069,4,869
1162,53,948
2251,2,1557
1114,2,904
1158,4,940
394,95,70
1117,1,906
513,53,620
1042,36,845
852,17,763
966,90,465
406,103,567
784,53,731
415,2,86
462,4,120
844,2,761
1128,2,915
839,2,758
695,2,276
1151,72,925
276,5,NA
845,2,380
13480,144,NA
2337,17,NA
1936,12,NA
2028,2,NA
13482,199,NA
14229,176,NA
2353,145,NA
1789,5,NA
1937,12,NA
2347,17,NA
1935,12,NA
918,4,438
1267,3,952
986,2,825
1108,35,899
1093,72,886
1124,41,928
649,9,243
1036,11,515
870,4,771
708,74,285
476,4,1861
665,4,253
502,3,613
614,73,656
1152,3,933
1131,2,945
983,74,2017
1110,2,901
2132,9,1526
892,2,418
673,4,259
848,2,382
788,74,345
859,2,1978
1103,4,896
351,4,2067
378,2,58
954,4,808
723,40,294
1130,5,917
854,2,386
835,2,756
436,11,104
838,2,376
401,51,2004
388,105,64
1098,4,891
